benchmark,run,result
comment,baseline,1
comment,myopt,0
mem,baseline,21
mem,myopt,incorrect
char,baseline,7
char,myopt,0
positions,baseline,missing
positions,myopt,missing
float,baseline,9
float,myopt,0
print,baseline,2
print,myopt,2
add,baseline,4
add,myopt,4
char,baseline,3
char,myopt,0
spec-abort,baseline,7
spec-abort,myopt,6
call,baseline,6
call,myopt,6
ptr,baseline,5
ptr,myopt,3
add,baseline,4
add,myopt,4
eight-queens,baseline,missing
eight-queens,myopt,missing
springboard,baseline,6
springboard,myopt,6
badcall,baseline,missing
badcall,myopt,missing
badconst,baseline,4
badconst,myopt,0
mem,baseline,missing
mem,myopt,missing
char,baseline,missing
char,myopt,0
extra,baseline,missing
extra,myopt,missing
tiny,baseline,2
tiny,myopt,2
labels,baseline,missing
labels,myopt,missing
main-args,baseline,2
main-args,myopt,2
ptr,baseline,missing
ptr,myopt,missing
badid,baseline,missing
badid,myopt,missing
speculate,baseline,missing
speculate,myopt,missing
typeconflict,baseline,2
typeconflict,myopt,0
undef,baseline,missing
undef,myopt,missing
mainret,baseline,missing
mainret,myopt,missing
badmem,baseline,missing
badmem,myopt,missing
missdest,baseline,missing
missdest,myopt,missing
printres,baseline,missing
printres,myopt,missing
argtype,baseline,missing
argtype,myopt,missing
missarg,baseline,missing
missarg,myopt,missing
ssa,baseline,missing
ssa,myopt,missing
nested,baseline,missing
nested,myopt,missing
recursive,baseline,missing
recursive,myopt,missing
link_ops,baseline,missing
link_ops,myopt,missing
diamond,baseline,missing
diamond,myopt,missing
